Date,qobs,qmod
1979-12-12,0,0.15287311
1979-12-13,0,0.15147692
1979-12-14,0,0.15012145
1979-12-15,0,0.14879902
1979-12-16,0,0.14750563
1979-12-17,0,0.14620925
1979-12-18,0,0.14486957
1979-12-19,0,0.14501312
1979-12-20,0,0.25470996
1979-12-21,0,0.39591566
1979-12-22,0,1.1549253
1979-12-23,0,1.460476
1979-12-24,0,0.6531317
1979-12-25,0,6.102076
1979-12-26,0,10.32317
1979-12-27,0,4.478296
1979-12-28,0,0.655486
1979-12-29,0,2.937671
1979-12-30,0,6.1165233
1980-11-16,0,0.15181613
1980-11-17,0,0.15060464
1980-11-18,0,0.14982805
1980-11-19,0,0.14939861
1980-11-20,0,0.14712523
1980-11-21,0,0.14572084
1980-11-22,0,0.14447922
1980-11-23,0,0.14328016
1980-11-24,0,0.14210251
1980-11-25,0,0.14094703
1980-11-26,0,0.13981466
1980-11-27,0,0.13871217
1980-11-28,0,0.13760637
1980-11-29,0,0.13651568
1980-11-30,0,0.13544537
1980-12-01,0,0.1344073
1980-12-02,0,0.1333898
1980-12-03,0,0.19346258
1980-12-04,0,0.48836446
1980-12-05,0,1.5102086
1980-12-06,0,1.726915
1980-12-07,0,0.5865678
1980-12-08,0,0.17801401
1980-12-09,0,0.1310147
1980-12-10,0,0.12622413
1980-12-11,0,0.12520619
1980-12-12,0,0.12483644
1980-12-13,0,0.12373433
1980-12-14,0,0.12248659
1980-12-15,0,0.1216134
1980-12-16,0,0.1212201
1980-12-17,0,0.6908833
1980-12-18,0,7.754905
1980-12-19,0,14.667081
1980-12-20,0,14.023474
1980-12-26,0,0.17640814
1980-12-27,0,0.1788753
1980-12-28,0,0.1819976
1980-12-29,0,0.18450421
1980-12-30,0,0.18642378
1980-12-31,0,2.0849798
1981-01-01,0,9.92584
1981-01-02,0,13.154492
1981-01-03,0,8.086876
1981-11-06,0,0.59867764
1981-11-07,0,0.19810994
1981-11-08,0,0.14998908
1981-11-09,0,0.14589235
1981-11-10,0,0.14261483
1981-11-11,0,0.1411052
