Date,qobs,qmod
1987-09-27,0,0.63852555
1987-09-28,0,0.62622756
1987-09-29,0,0.6235008
1987-09-30,0,0.6316656
1987-10-01,0,0.6499342
1987-10-02,0,0.6820683
1988-11-01,0,1.1150675
1988-11-02,0,1.1298416
1988-11-03,0,1.153034
1988-11-04,0,1.1792692
1988-11-05,0,1.2021145
1988-11-06,0,1.2136532
1988-11-07,0,1.2102177
1988-11-08,0,1.196141
1988-11-09,0,1.1740851
1988-11-10,0,1.1492146
1988-11-11,0,1.1306988
1988-11-12,0,1.127373
1988-11-13,0,1.149921
1988-11-14,0,1.204008
1988-11-15,0,1.2917366
1988-11-16,0,1.3991
1988-11-17,0,1.4856755
1988-11-18,0,1.5399126
1988-11-19,0,1.5646722
1988-11-20,0,1.567161
1989-10-03,0,1.6505841
1989-10-04,0,1.6278327
1989-10-05,0,1.6057907
1989-10-06,0,1.5845486
1989-10-07,0,1.5640223
1989-10-08,0,1.5438234
1989-10-09,0,1.523481
1989-10-10,0,1.5028776
1989-10-11,0,1.4824475
1989-10-12,0,1.4629844
1989-10-13,0,1.4506403
1989-10-14,0,1.4485307
1989-10-15,0,1.4420893
1989-10-16,0,1.4351063
1989-10-17,0,1.4355453
1989-10-18,0,1.4347756
1989-10-19,0,1.4254081
1989-10-20,0,1.4085841
1989-10-21,0,1.3893276
1989-10-22,0,1.3715149
1989-10-23,0,1.3560944
1989-10-24,0,1.3419136
1989-10-25,0,1.3276651
1989-10-26,0,1.3128812
1989-10-27,0,1.2990873
1989-10-28,0,1.2882577
1989-10-29,0,1.2817307
1989-10-30,0,1.2816644
1989-10-31,0,1.2906084
1989-11-01,0,1.3156253
1989-11-02,0,1.3638996
1989-11-03,0,1.4189473
1989-11-04,0,1.4670942
1989-11-05,0,1.5132636
1989-11-06,0,1.5882019
1989-11-07,0,1.7085657
1990-01-31,0,1.0565759
1990-02-01,0,1.0918616
1990-02-02,0,1.1465064
1990-02-03,0,1.2315391
1990-02-04,0,1.3632553
1990-02-05,0,1.5459969
1990-02-06,0,1.7686671
1990-02-07,0,2.0014691
1990-02-08,0,2.2029686
1990-02-09,0,2.3359737
1990-02-10,0,2.3809757
1990-02-11,0,2.338565
1990-02-12,0,2.2229054
1990-02-13,0,2.0547185
1990-02-14,0,1.8573598
1990-02-15,0,1.65429
1990-02-16,0,1.4681016
1990-02-17,0,1.3094631
1990-02-18,0,1.1733054
1990-02-19,0,1.0746045
1990-02-20,0,1.0259569
1990-02-21,0,1.0357206
1990-02-22,0,1.1039284
1990-02-23,0,1.2142187
1990-02-24,0,1.3237578
1990-02-25,0,1.4039465
1990-02-26,0,1.446274
1990-02-27,0,1.4486927
1990-02-28,0,1.4104937
1990-03-01,0,1.3469057
1990-03-02,0,1.2854545
1990-03-03,0,1.2316973
1990-03-04,0,1.1818941
1990-03-05,0,1.1547507
1990-09-28,0,1.6365894
1990-09-29,0,1.6119943
1990-09-30,0,1.5868324
1990-10-01,0,1.561781
1990-10-02,0,1.5373483
1990-10-03,0,1.5138417
1990-10-04,0,1.4914187
1990-10-05,0,1.4701394
1990-10-06,0,1.4499735
1990-10-07,0,1.4307767
1990-10-08,0,1.4147019
1990-10-09,0,1.402625
1990-10-10,0,1.3873991
1990-10-11,0,1.3717784
1990-10-12,0,1.3616372
1990-10-13,0,1.3545141
1990-10-14,0,1.3457029
1990-10-15,0,1.3343138
1990-10-16,0,1.3215041
1990-10-17,0,1.3083329
1990-10-18,0,1.2955537
1990-10-19,0,1.2840853
1990-10-20,0,1.2763448
1990-10-21,0,1.2730187
1990-10-22,0,1.2706726
1990-10-23,0,1.2735176
1990-10-24,0,1.2953564
1990-10-25,0,1.3475288
1990-10-26,0,1.4329352
1990-10-27,0,1.5588733
1990-10-28,0,1.7404242
1990-10-29,0,1.9859793
1990-10-30,0,2.2780178
1990-10-31,0,2.569796
1990-11-01,0,2.8035254
1990-11-02,0,2.9357216
1990-11-03,0,2.9510498
1990-11-04,0,2.864496
1990-11-05,0,2.7108128
1990-11-06,0,2.514646
1990-11-07,0,2.2980754
1990-11-08,0,2.1100159
1990-11-09,0,1.9776385
1990-11-10,0,1.9085939
1990-11-11,0,1.8892962
1990-11-12,0,1.8961315
1990-11-13,0,1.9006015
1990-11-14,0,1.8807328
1990-11-15,0,1.8286555
1990-11-16,0,1.7475355
1990-11-17,0,1.6456409
1990-11-18,0,1.5332112
1990-11-19,0,1.4204718
1990-11-20,0,1.3164119
1990-11-21,0,1.2306067
1990-11-22,0,1.1770098
1990-11-23,0,1.1738766
1990-11-24,0,1.2357448
1990-11-25,0,1.3616906
1990-11-26,0,1.529609
1990-11-27,0,1.7012402
1990-11-28,0,1.8352842
1990-11-29,0,1.903927
1990-11-30,0,1.8993924
1990-12-01,0,1.8285012
1990-12-02,0,1.7090771
1990-12-03,0,1.56523
1990-12-04,0,1.4192646
1990-12-05,0,1.2891335
1990-12-06,0,1.1834093
1990-12-07,0,1.1009353
1990-12-08,0,1.0463606
1990-12-09,0,1.0214076
1990-12-10,0,1.0163097
1990-12-11,0,1.0151452
1990-12-12,0,1.0160406
1990-12-13,0,1.0293194
1990-12-14,0,1.069475
1990-12-15,0,1.1409034
1991-05-14,0,3.251517
1991-05-15,0,3.184974
1991-05-16,0,3.1212108
1991-05-17,0,3.0591376
1991-05-18,0,2.998881
1991-05-19,0,2.940461
1991-05-20,0,2.8854349
1991-05-21,0,2.8397965
1991-05-22,0,2.8025894
1991-05-23,0,2.7632415
1991-05-24,0,2.7263603
1991-05-25,0,2.6921926
1991-05-26,0,2.6650574
1991-05-27,0,2.6418931
1991-05-28,0,2.6287022
1991-05-29,0,2.6316175
1991-05-30,0,2.645731
1991-05-31,0,2.657649
1991-06-01,0,2.6628506
1991-06-02,0,2.6815758
1991-06-03,0,2.7470055
1991-06-04,0,2.8875458
1991-06-05,0,3.1268997
1991-06-06,0,3.4841645
1991-06-07,0,3.9574199
1991-06-08,0,4.5164094
1991-06-09,0,5.1259403
1991-06-10,0,5.769266
1991-06-11,0,6.433959
1991-06-12,0,7.0751843
1991-06-13,0,7.601865
1991-07-29,0,2.9148686
1991-07-30,0,3.221109
1991-07-31,0,3.5081565
1991-08-01,0,3.7044282
1991-08-02,0,3.7585917
1991-08-03,0,3.6561885
1991-08-04,0,3.419055
1991-08-05,0,3.0921037
1991-08-06,0,2.7265341
1991-08-07,0,2.3665984
1991-08-08,0,2.0427923
1991-08-09,0,1.7709459
1991-08-10,0,1.5549544
1991-08-11,0,1.3908266
1991-08-12,0,1.2704914
1991-08-13,0,1.1846309
1991-08-14,0,1.1244701
1991-08-15,0,1.0826739
1991-08-16,0,1.0535513
1991-08-17,0,1.0329007
1991-08-18,0,1.0177524
1991-08-19,0,1.0061111
1991-08-20,0,0.99668896
1991-08-21,0,0.9886608
1991-08-22,0,0.98147815
1991-08-23,0,0.9747818
1991-08-24,0,0.96835107
1991-08-25,0,0.96205693
1991-08-26,0,0.9558291
1991-08-27,0,0.94962406
1991-08-28,0,0.9434134
1991-08-29,0,0.9372051
1991-08-30,0,0.9310282
1991-08-31,0,0.92490596
1991-09-01,0,0.9188566
1991-09-02,0,0.91289604
1991-09-03,0,0.907018
1991-09-04,0,0.9012091
1991-09-05,0,0.89546657
1991-09-06,0,0.88977844
1991-09-07,0,0.8841342
1991-09-08,0,0.878533
1991-09-09,0,0.87297416
1991-09-10,0,0.86744624
1991-09-11,0,0.8619479
1991-09-12,0,0.85648197
1991-09-13,0,0.8510665
1991-09-14,0,0.8457192
1991-09-15,0,0.84044015
1991-09-16,0,0.8352024
1991-09-17,0,0.8299584
1991-09-18,0,0.8246514
1991-09-19,0,0.8192537
1991-09-20,0,0.81377745
1991-09-21,0,0.80825984
1991-09-22,0,0.80275023
1991-09-23,0,0.79728186
1991-09-24,0,0.7918552
1991-09-25,0,0.78644454
1991-09-26,0,0.7810202
1991-09-27,0,0.7755595
1991-09-28,0,0.7700397
1991-09-29,0,0.7644498
1991-09-30,0,0.7588173
1991-10-01,0,0.75320065
1991-10-02,0,0.74766374
1991-10-03,0,0.74224234
1991-10-04,0,0.7369252
1991-10-05,0,0.7316995
1991-10-06,0,0.72653556
1991-10-07,0,0.72141737
1991-10-08,0,0.71650404
1991-10-09,0,0.71200883
1991-10-10,0,0.7078848
1991-10-11,0,0.70381016
1991-10-12,0,0.69947726
1991-10-13,0,0.6947531
1991-10-14,0,0.68969905
1991-10-15,0,0.68445903
1991-10-16,0,0.67915124
1991-10-17,0,0.67384464
1991-10-18,0,0.66859
1991-10-19,0,0.663416
1991-10-20,0,0.65831965
1991-10-21,0,0.65328205
1991-10-22,0,0.6482747
1991-10-23,0,0.64328784
1991-10-24,0,0.6383229
1991-10-25,0,0.63339704
1991-10-26,0,0.62851375
1991-10-27,0,0.62365824
1991-10-28,0,0.6188013
1991-10-29,0,0.6139215
1991-10-30,0,0.60916233
1991-10-31,0,0.6052078
1991-11-01,0,0.60644525
1991-11-02,0,0.6148317
1991-11-03,0,0.62800056
1991-11-04,0,0.64253014
1991-11-05,0,0.65659606
1991-11-06,0,0.66992784
1991-11-07,0,0.68272525
1991-11-08,0,0.6956526
1991-11-09,0,0.7090577
1991-11-10,0,0.72171897
1991-11-11,0,0.7302869
1991-11-12,0,0.7327373
1991-11-13,0,0.73503476
1991-11-14,0,0.7488397
1991-11-15,0,0.80437434
1991-11-16,0,0.91342455
1991-11-17,0,1.0132288
1991-11-18,0,1.1402559
1991-11-19,0,1.348397
1991-11-20,0,1.61338
1991-11-21,0,1.8463659
1991-11-22,0,2.009966
1991-11-23,0,2.09346
1991-11-24,0,2.0870643
1991-11-25,0,1.9972466
1992-04-16,0,1.435562
1992-04-17,0,1.3872662
1992-04-18,0,1.3389688
1992-04-19,0,1.2942698
1992-04-20,0,1.2551597
1992-04-21,0,1.2227427
1992-04-22,0,1.1992906
1992-04-23,0,1.1868945
1992-04-24,0,1.1834315
1992-04-25,0,1.1906958
1992-04-26,0,1.2069956
1992-04-27,0,1.2206098
1992-04-28,0,1.2272621
1992-04-29,0,1.2274805
1992-04-30,0,1.2220228
1992-05-01,0,1.211196
1992-05-02,0,1.1977195
1992-05-03,0,1.1847795
1992-05-04,0,1.1731317
1992-05-05,0,1.1618245
1992-05-06,0,1.1552972
1992-05-07,0,1.1673807
1992-05-08,0,1.2079891
1992-05-09,0,1.2735213
1992-05-10,0,1.3564494
1992-07-09,0,0.74875885
1992-07-10,0,0.74458843
1992-07-11,0,0.7404248
1992-07-12,0,0.7363006
1992-07-13,0,0.73222655
1992-07-14,0,0.7281983
1992-07-15,0,0.72423315
1992-07-16,0,0.7203498
1992-07-17,0,0.71655595
1992-07-18,0,0.71286
1992-07-19,0,0.7092741
1992-07-20,0,0.7057778
1992-07-21,0,0.7023174
1992-07-22,0,0.69884217
1992-07-23,0,0.6953494
1992-07-24,0,0.6918242
1992-07-25,0,0.6882559
1992-07-26,0,0.6850625
1992-07-27,0,0.68277735
1992-07-28,0,0.6820223
1992-07-29,0,0.6851494
1992-07-30,0,0.68910134
1992-07-31,0,0.689728
1992-08-01,0,0.68614644
1992-08-02,0,0.68003374
1992-08-03,0,0.67334884
1992-08-04,0,0.66707605
1992-08-05,0,0.66159123
1992-08-06,0,0.6567803
1992-08-07,0,0.652861
1992-08-08,0,0.6499939
1992-08-09,0,0.64606565
1992-08-10,0,0.6419765
1992-08-11,0,0.63979554
