Date,qobs,qmod
1980-10-20,0,0.6344349
1980-10-21,0,0.6008478
1980-10-22,0,0.5792285
1980-10-23,0,0.5885695
1980-10-24,0,0.75935525
1980-10-25,0,1.4294238
1980-10-26,0,1.5984085
1980-10-27,0,1.852279
1980-10-28,0,1.5889693
1980-10-29,0,1.1248245
1980-10-30,0,0.8156423
1980-10-31,0,0.6528328
1980-11-01,0,0.5773681
1980-11-02,0,0.54357356
1980-11-03,0,0.5276017
1980-11-04,0,0.51888347
1980-11-05,0,0.5130803
1980-11-06,0,0.508476
1980-11-07,0,0.50438803
1980-11-08,0,0.5005397
1980-11-09,0,0.49684557
1980-11-10,0,0.4959009
1980-11-11,0,0.52811915
1980-11-12,0,0.7230483
1980-11-13,0,0.7981421
1980-11-14,0,0.7424745
1980-11-15,0,0.6313356
1980-11-16,0,0.5468294
1980-11-17,0,0.5007063
1980-11-18,0,0.47795248
1980-11-19,0,0.4665718
1980-11-20,0,0.459678
1980-11-21,0,0.4543308
1980-11-22,0,0.44979596
1980-11-23,0,0.44566154
1980-11-24,0,0.44178182
1980-11-25,0,0.44074908
1980-11-26,0,0.5158226
1980-11-27,0,0.86598694
1980-11-28,0,0.74259776
1980-11-29,0,0.59438473
1980-11-30,0,0.5005375
1980-12-01,0,0.45164794
1980-12-02,0,0.42878765
1980-12-03,0,0.41655052
1980-12-04,0,0.4150938
1980-12-05,0,0.41458377
1980-12-06,0,0.42480052
1980-12-07,0,0.49114794
1980-12-08,0,0.66030663
1980-12-09,0,0.83088905
1980-12-10,0,1.018681
1980-12-11,0,1.2708395
1980-12-12,0,1.7036135
1980-12-13,0,2.7653534
1980-12-14,0,3.7503936
1980-12-15,0,4.5927157
1980-12-16,0,4.2641735
1980-12-17,0,2.9063594
1980-12-18,0,2.9378667
1980-12-19,0,3.544249
1980-12-20,0,4.5710344
1980-12-21,0,6.083732
1980-12-22,0,6.391934
1980-12-23,0,4.032356
1980-12-24,0,2.1119242
1980-12-25,0,1.0932319
1980-12-26,0,0.64242744
1980-12-27,0,0.461347
1980-12-28,0,0.6142342
1980-12-29,0,2.159947
1980-12-30,0,2.605074
1980-12-31,0,3.816536
1981-01-01,0,8.921204
1981-01-02,0,14.418121
1981-01-03,0,21.323107
1981-01-04,0,31.548527
1981-01-05,0,52.789963
1981-01-06,0,55.935463
1981-01-07,0,48.879597
1988-09-17,0,0.8511412
1988-09-18,0,0.84172404
1988-09-19,0,0.8325333
1988-09-20,0,0.82347244
1988-09-21,0,0.81457394
1988-09-22,0,0.80594486
1988-09-23,0,0.7974122
1988-09-24,0,0.7889256
1988-09-25,0,0.78054154
1988-09-26,0,0.77214885
