Date,qobs,qmod
1982-08-30,0,3.0724208
1982-08-31,0,1.9896166
1982-09-01,0,1.1775475
1982-09-02,0,0.97944635
1982-09-03,0,0.94556105
1982-09-04,0,0.9306469
1982-09-05,0,0.9175258
1982-09-06,0,0.9048185
1983-12-23,0,3.1530206
1983-12-24,0,3.1577115
1983-12-25,0,2.9792407
1983-12-26,0,2.3223646
1983-12-27,0,2.0995433
1983-12-28,0,1.9987627
1983-12-29,0,1.976359
1983-12-30,0,2.0222108
1983-12-31,0,2.341502
1984-01-01,0,2.1724102
1984-09-22,0,0.99852073
1984-09-23,0,0.9942198
1984-09-24,0,0.84455407
1984-09-25,0,0.81629753
1984-09-26,0,0.8088544
1984-09-27,0,0.9280244
1984-09-28,0,1.3013686
1984-09-29,0,1.0687946
1984-09-30,0,0.82670397
1984-10-01,0,0.7862805
1984-10-02,0,0.895452
1984-10-03,0,1.280232
1984-10-04,0,0.9945234
1984-10-05,0,0.7897004
1984-10-06,0,1.1757303
1985-01-06,0,0.58415306
1985-01-07,0,0.5824755
1985-01-08,0,0.5820414
1985-01-09,0,0.5827726
1985-01-10,0,0.588628
1985-01-11,0,0.5856052
1985-01-12,0,0.67381734
1985-01-13,0,1.9771202
1985-01-14,0,5.7890115
1985-01-15,0,5.315253
1985-01-16,0,4.0073204
1985-01-17,0,1.7586805
1985-01-18,0,0.74370795
1985-01-19,0,1.8499347
1985-01-20,0,7.270496
1985-01-21,0,5.0879116
1985-01-22,0,3.0205224
1985-01-23,0,1.5387536
1985-02-03,0,7.4163933
1985-02-05,0,25.287722
1985-02-06,0,50.67495
1985-05-25,0,8.362796
1985-05-26,0,10.0227585
1985-06-14,0,3.383763
1985-06-15,0,3.321855
1985-06-16,0,3.262166
1985-06-17,0,3.2148266
1985-06-18,0,3.1772974
1985-06-19,0,3.1413715
1985-06-20,0,3.1625044
1985-06-21,0,3.0620582
1985-06-22,0,2.946023
1985-06-23,0,2.8734775
1985-06-24,0,2.8206534
1985-06-25,0,2.7716303
1985-06-26,0,2.723658
1985-06-27,0,2.6754787
1985-06-28,0,2.628445
1985-06-29,0,2.5829175
1985-06-30,0,2.5387971
