Date,qobs,qmod
1985-10-06,0,7.2760353
1985-10-07,0,7.222576
1985-10-08,0,5.661859
1985-10-09,0,5.27499
1985-10-10,0,5.3055687
1985-10-11,0,6.4063964
1985-10-12,0,5.697122
1985-10-13,0,5.100741
1985-10-14,0,5.054719
1985-10-15,0,10.439012
1985-10-16,0,9.285758
1985-10-17,0,4.935087
1985-10-18,0,4.858229
1985-10-19,0,5.14432
1988-10-26,0,4.895811
1988-10-27,0,4.8284035
1988-10-28,0,4.7836113
1988-10-29,0,9.819249
1988-10-30,0,24.672794
1988-10-31,0,32.2285
1988-11-01,0,44.98257
1988-11-02,0,26.32175
1988-11-03,0,13.395855
1988-11-04,0,10.183641
1988-11-05,0,6.6171074
1988-11-06,0,8.4533615
1988-11-07,0,13.251623
1988-11-08,0,9.887312
1988-11-09,0,6.5585384
1988-11-10,0,6.5628705
1988-11-11,0,6.5640354
1988-11-12,0,7.8068175
1988-11-13,0,8.132436
1988-11-14,0,9.518637
1988-11-15,0,19.267141
1988-11-16,0,14.994558
1988-11-17,0,6.5600395
1988-11-18,0,6.707078
1988-11-19,0,10.246613
1990-11-17,0,5.150797
1990-11-18,0,5.101962
1990-11-19,0,5.068641
1990-11-20,0,5.7196
1990-11-21,0,5.501241
1990-11-22,0,4.895764
1990-11-23,0,4.841364
1990-11-24,0,4.7944922
1990-11-25,0,4.750226
1990-11-26,0,4.703114
1990-11-27,0,4.6574326
1990-11-28,0,4.6185327
1990-11-29,0,4.5668616
1990-11-30,0,4.7961497
1990-12-01,0,4.6098256
1990-12-02,0,4.481287
1990-12-03,0,5.7733426
1990-12-04,0,10.268011
1990-12-05,0,10.383391
1990-12-06,0,6.155154
1990-12-07,0,4.5541687
1990-12-08,0,4.268357
1990-12-09,0,4.1841087
1990-12-10,0,4.8014655
1990-12-11,0,5.393544
1990-12-12,0,4.632355
1990-12-13,0,4.0118785
1990-12-14,0,3.9707022
1990-12-15,0,4.124984
1990-12-16,0,5.3022513
1990-12-17,0,5.3929257
1990-12-18,0,4.8890815
1990-12-19,0,5.1360607
1990-12-20,0,4.863912
1990-12-21,0,10.719299
1990-12-22,0,45.881935
1991-10-17,0,4.320152
1991-10-18,0,4.2716656
1991-10-19,0,4.2266836
1991-10-20,0,4.1792154
1991-10-21,0,4.139258
1991-10-22,0,4.1029406
1991-10-23,0,4.063751
1991-10-24,0,4.022166
1991-10-25,0,3.9803588
1991-10-26,0,3.933985
1991-10-27,0,3.8907318
1991-10-28,0,3.8512974
1991-10-29,0,3.8188696
1991-10-30,0,3.7811487
1991-10-31,0,3.7336607
1991-11-01,0,3.6932008
1991-11-02,0,3.6642199
1991-11-03,0,3.6419888
1991-11-04,0,3.6151614
1991-11-05,0,3.5828235
1991-11-06,0,3.5488744
1991-11-07,0,3.5145524
1991-11-08,0,3.4839602
1991-11-09,0,3.4535475
1991-11-10,0,3.418831
1991-11-11,0,3.412412
1991-11-12,0,10.021678
1991-11-13,0,11.937918
1991-11-14,0,8.992038
1991-11-15,0,8.077435
1991-11-16,0,10.856701
1991-11-17,0,16.057495
1992-10-05,0,2.3323119
1992-10-06,0,2.3005466
1992-10-07,0,2.2689693
1992-10-08,0,2.2406843
1992-10-09,0,2.2104366
1992-10-10,0,2.178872
1992-10-11,0,2.1478875
1992-10-12,0,2.3244302
1992-10-13,0,4.168995
1992-10-14,0,3.6522894
1992-10-15,0,3.3281884
1992-10-16,0,2.9950538
1992-10-17,0,1.9592956
1992-10-18,0,1.9636862
1992-10-19,0,1.9407649
1992-10-20,0,1.8797996
1992-10-21,0,1.850486
1992-10-22,0,1.9549849
1992-10-23,0,2.2146766
1992-10-24,0,2.516861
1992-10-25,0,2.687346
1992-10-26,0,2.1083663
1992-10-27,0,1.674038
1992-10-28,0,1.6959729
1992-10-29,0,1.6775278
1992-10-30,0,1.602494
1992-10-31,0,1.5740305
1992-11-01,0,1.5580708
1992-11-02,0,1.5363005
1992-11-03,0,1.5083543
1992-11-04,0,1.4763228
1992-11-05,0,1.449951
1992-11-06,0,1.4276146
1992-11-07,0,1.4085567
1992-11-08,0,1.3927027
1992-11-09,0,1.3628532
1992-11-10,0,1.610422
1992-11-11,0,1.5278488
1992-11-12,0,1.2955928
1992-11-13,0,1.2831706
1992-11-14,0,1.6807004
1992-11-15,0,1.5450187
1992-11-16,0,1.2148602
1992-11-17,0,1.1920836
1992-11-18,0,1.1712078
1992-11-19,0,1.1498793
1992-11-20,0,1.1339991
1992-11-21,0,1.5000495
1992-11-22,0,1.297855
1992-11-23,0,1.0797459
1992-11-24,0,3.1184928
1992-11-25,0,3.3715441
1992-11-26,0,4.430171
1992-11-27,0,4.421371
1992-11-28,0,1.530528
1992-11-29,0,0.9626248
1992-11-30,0,0.94340974
1992-12-01,0,0.9215957
1992-12-02,0,3.2540138
1992-12-03,0,7.436046
1992-12-04,0,14.572125
1992-12-05,0,17.039913
1992-12-06,0,20.023996
1992-12-07,0,21.241282
1992-12-08,0,11.361697
1992-12-09,0,2.121039
1992-12-10,0,1.2712898
1992-12-11,0,1.3587917
1992-12-12,0,1.4336485
1992-12-13,0,1.4845186
1992-12-14,0,1.933124
1992-12-15,0,1.9208094
1992-12-16,0,1.5816512
1992-12-17,0,4.4465566
1992-12-18,0,30.011461
1992-12-19,0,46.056644
1992-12-20,0,37.09481
1992-12-21,0,44.474888
1992-12-22,0,28.677893
1992-12-23,0,6.235983
1992-12-24,0,8.757092
1992-12-25,0,15.187348
1992-12-26,0,20.726665
1992-12-27,0,24.212494
1992-12-28,0,17.327028
1992-12-29,0,9.389604
1992-12-30,0,7.7269926
1992-12-31,0,7.7818937
1993-01-01,0,9.101291
1993-01-02,0,8.405222
1993-01-03,0,7.739454
1993-01-04,0,7.696713
1993-01-05,0,8.083668
1993-01-06,0,7.9507847
1993-01-07,0,11.5081415
1993-01-08,0,13.8041315
1993-01-09,0,9.742312
1993-01-10,0,14.1776
1993-01-11,0,22.787832
1993-01-12,0,27.171133
1993-01-13,0,21.81134
1993-01-14,0,11.510614
1993-01-15,0,11.603731
1993-01-16,0,19.953749
1993-01-17,0,54.806225
1993-01-18,0,37.089706
1993-01-19,0,13.106908
1993-01-20,0,20.192549
1993-01-21,0,20.764893
1993-01-22,0,12.28749
1993-01-23,0,12.738207
1993-01-24,0,15.766558
1993-01-25,0,13.795778
1993-01-26,0,12.742509
1993-01-27,0,12.131959
1993-01-28,0,13.75554
1993-01-29,0,29.229832
1993-01-30,0,112.92884
1993-01-31,0,115.68667
1993-02-01,0,44.085987
1993-02-02,0,25.355389
1993-02-03,0,28.028229
1993-02-04,0,36.705456
1993-02-05,0,35.355953
1993-02-06,0,25.041477
1993-11-13,0,4.0464826
1993-11-14,0,4.024703
1993-11-15,0,4.018721
1993-11-16,0,3.9784567
1993-11-17,0,3.9312768
1993-11-18,0,4.183907
1993-11-19,0,4.1952877
1993-11-20,0,4.0273924
1993-11-21,0,4.004993
1993-11-22,0,3.872198
1993-11-23,0,6.1790557
1994-01-06,0,4.542292
1994-01-07,0,4.676963
1994-01-08,0,6.9712443
1994-01-09,0,7.0435424
1994-01-10,0,8.563926
1994-01-11,0,6.9705954
1994-10-16,0,5.084801
1994-10-17,0,5.0159826
1994-10-18,0,4.947078
1994-10-19,0,4.884388
1994-10-20,0,4.8170595
1994-10-21,0,4.7649627
1994-10-22,0,4.734375
1994-10-23,0,4.708915
1994-10-24,0,5.10066
1994-10-25,0,8.263739
1994-10-26,0,7.299314
1994-10-27,0,4.825664
1994-10-28,0,4.5782914
1994-10-29,0,6.967014
