Date,qobs,qmod
1988-10-14,0,1.2511319
1988-10-15,0,1.7788547
1988-10-16,0,2.3075643
1988-10-17,0,0.64210045
1988-10-18,0,0.33959475
1988-10-19,0,0.30754703
1988-10-20,0,0.30214673
1988-10-21,0,0.2996504
1988-10-22,0,0.2960499
1988-10-23,0,0.29314536
1988-10-24,0,0.29040286
1988-10-25,0,0.28771833
1988-10-26,0,0.28507423
1988-10-27,0,0.2824632
1988-10-28,0,0.33226523
1988-10-29,0,0.96863115
1988-10-30,0,1.9111862
1988-10-31,0,2.9699214
1988-11-01,0,7.692277
1988-11-02,0,10.115334
1988-11-03,0,6.5835304
1988-11-04,0,1.6341897
1988-11-05,0,0.4869875
1988-11-06,0,5.155609
1988-11-07,0,12.76631
1988-11-08,0,5.3145237
1988-11-09,0,0.96722543
1988-11-10,0,0.34525603
1988-11-11,0,0.28907818
1988-11-12,0,0.45475674
1988-11-13,0,1.1333599
1988-11-14,0,1.4111795
1988-11-15,0,0.685381
1988-11-16,0,0.8482819
1988-11-17,0,0.6204146
1988-11-18,0,0.7722153
1988-11-19,0,0.7113351
1988-11-20,0,1.0414202
1988-11-21,0,1.5375212
1988-11-22,0,3.8611832
1988-11-23,0,5.0825434
2002-09-25,0,0.13671145
2002-09-26,0,0.12670334
2002-09-27,0,0.12407641
2002-09-28,0,0.12299465
2002-09-29,0,0.1220747
2002-09-30,0,0.12118054
2002-10-01,0,0.12029928
2002-10-02,0,0.11942947
2002-10-03,0,0.11859135
2002-10-04,0,0.11777232
2002-10-05,0,0.116887376
2002-10-06,0,0.11609125
2002-10-07,0,0.11534021
2002-10-08,0,0.11442095
2002-10-09,0,0.11357913
2002-10-10,0,0.11274283
2002-10-12,0,0.11110201
2002-10-14,0,0.11235956
2005-11-24,0,0.2182849
2005-11-25,0,0.21627699
2005-11-26,0,0.21432094
2005-11-27,0,0.21237172
2005-11-28,0,1.0368004
2005-11-29,0,2.0904987
2005-11-30,0,0.52637815
2005-12-01,0,0.24710841
2005-12-02,0,0.216013
2005-12-03,0,0.27590892
2005-12-04,0,0.54739666
2005-12-05,0,0.7204987
2005-12-06,0,0.27709422
2005-12-07,0,0.20233306
2005-12-08,0,0.19364014
2005-12-09,0,0.19136953
2005-12-10,0,0.18953681
2005-12-11,0,0.201095
2005-12-12,0,0.2167496
2005-12-13,0,0.19001637
2005-12-14,0,0.18371801
2005-12-15,0,0.18172489
2005-12-16,0,0.18023905
2005-12-17,0,0.514765
2005-12-18,0,1.0149167
2005-12-19,0,0.47165364
2005-12-20,0,0.23790723
2005-12-21,0,0.18229607
2005-12-22,0,0.6041565
2005-12-23,0,10.305161
2005-12-24,0,21.540586
2005-12-25,0,3.742045
2005-12-26,0,0.5533295
2005-12-27,0,1.4134828
2005-12-28,0,2.9010277
2005-12-29,0,1.6239954
2005-12-30,0,2.1373148
2005-12-31,0,0.7418415
2006-01-01,0,0.93521893
2006-01-02,0,4.513722
2006-01-03,0,9.17494
2006-01-04,0,2.3505375
2006-01-05,0,1.8124543
2006-01-06,0,0.55072623
2006-01-07,0,0.24788062
2006-01-08,0,3.9159236
2006-01-09,0,12.937866
2006-01-10,0,13.470996
2006-01-11,0,11.938968
2009-11-08,0,0.8925897
2009-11-09,0,0.4773232
2009-11-10,0,0.34105092
2009-11-11,0,0.64472884
2009-11-12,0,2.3094883
2009-11-13,0,3.3375413
2009-11-14,0,0.803274
2009-11-15,0,0.3382403
2009-11-16,0,0.28997496
2009-11-17,0,0.28265962
2009-11-18,0,0.27919695
2009-11-19,0,0.27605942
2009-11-20,0,0.29348102
2009-11-21,0,0.55987793
2009-11-22,0,0.84086895
2009-11-23,0,0.38703078
2009-11-24,0,0.5728066
2009-11-25,0,0.967452
2009-11-26,0,0.42115942
2009-11-27,0,0.29319686
2009-11-28,0,0.25581953
2009-11-29,0,0.35536623
2009-11-30,0,0.54139745
2009-12-01,0,0.40435776
2009-12-02,0,0.26621544
2009-12-03,0,0.23977834
2009-12-04,0,0.24281806
2009-12-05,0,0.2890312
2009-12-06,0,1.1272609
2009-12-07,0,3.7759783
2009-12-08,0,4.433084
2009-12-09,0,0.93468595
2009-12-10,0,0.3682758
2009-12-11,0,0.32270157
2009-12-12,0,0.24160042
2009-12-13,0,0.21668953
2009-12-14,0,0.46880877
2009-12-15,0,0.98602235
2009-12-16,0,0.786096
2009-12-17,0,0.56002235
2009-12-18,0,0.2936373
2009-12-19,0,0.21731031
2009-12-20,0,0.20382366
2009-12-21,0,0.20101446
2009-12-22,0,0.19942698
2009-12-23,0,0.19793959
2009-12-24,0,0.22048876
2009-12-25,0,0.53587055
2009-12-26,0,0.91339797
2009-12-27,0,1.1673244
2009-12-28,0,2.0090408
2009-12-29,0,0.571707
2009-12-30,0,2.6090927
2009-12-31,0,14.819976
2010-01-01,0,22.37222
2010-01-02,0,3.9346254
2010-01-03,0,1.0841727
2010-01-04,0,2.14191
2010-01-05,0,2.9887645
2010-01-06,0,0.72651714
2010-01-07,0,0.30903286
2010-01-08,0,0.3860851
2010-01-09,0,6.2613964
2010-01-10,0,13.792264
2010-01-11,0,2.9546223
2010-01-12,0,2.4849231
2010-01-13,0,4.407132
2010-01-14,0,1.1885896
2010-01-15,0,0.6462194
