Large lakes
Large river deltas
Montane freshwaters
Xeric freshwaters and endorheic basins
Temperate coastal rivers
Temperate upland rivers
Temperate floodplain rivers and wetlands
Tropical and subtropical coastal rivers
Tropical and subtropical upland rivers
Tropical and subtropical floodplain rivers and wetlands
Polar freshwaters
