"","stationid","lat","lon","source"
"126","AT_0000034",47.39,11.26,"gsim"
"127","AT_0000035",47.526,15.473,"gsim"
"128","AT_0000036",46.84,15.38,"gsim"
"129","AT_0000037",46.619722,13.374444,"gsim"
"130","AT_0000038",46.6,13.36,"gsim"
"131","AT_0000039",46.5375,14.594444,"gsim"
"132","AT_0000040",46.94,14.55,"gsim"
"133","AT_0000041",46.71,14.36,"gsim"
"134","AT_0000042",46.896389,14.869167,"gsim"
"135","AT_0000043",47.02,12.34,"gsim"
"136","AT_0000044",47.026,12.632,"gsim"
"137","AT_0000045",46.918,12.514,"gsim"
"138","AT_0000046",46.747222,12.473333,"gsim"
"139","AT_0000047",46.703333,12.741111,"gsim"
"140","AT_0000048",46.98,13.17,"gsim"
"141","AT_0000049",46.85,14.200556,"gsim"
"142","AT_0000050",46.49,14.28,"gsim"
"143","AT_0000051",47.221667,14.576111,"gsim"
"144","AT_0000052",47.39,14.91,"gsim"
"145","AT_0000053",47.38,15.05,"gsim"
"146","AT_0000054",47.657,15.594,"gsim"
"147","AT_0000055",46.85,15.38,"gsim"
"148","AT_0000056",46.76,15.21,"gsim"
"149","AT_0000057",47.134,13.684,"gsim"
"150","AT_0000058",46.76,15.21,"gsim"
"151","AT_0000059",47.31,15.83,"gsim"
"152","AT_0000060",47.852222,16.638889,"gsim"
"153","AT_0000061",47.38,16,"gsim"
"154","AT_0000062",47.278611,16.22,"gsim"
"155","AT_0000063",47.25,15.51,"gsim"
"156","AT_0000064",47.25,15.52,"gsim"
"157","AT_0000065",47.31,15.83,"gsim"
"158","AT_0000066",47.04,15.76,"gsim"
"159","AT_0000067",47.89,14.828889,"gsim"
"160","AT_0000068",47.82,15.3,"gsim"
"161","AT_0000069",47.85,15.28,"gsim"
"162","AT_0000070",47.87,15.33,"gsim"
"163","AT_0000071",47.94,15.11,"gsim"
"164","AT_0000072",47.974167,15.190833,"gsim"
"165","AT_0000073",48.128333,15.134722,"gsim"
"166","AT_0000074",48.12,15.33,"gsim"
"167","AT_0000075",48.203889,15.278611,"gsim"
"168","AT_0000076",47.95,15.38,"gsim"
"169","AT_0000077",48.013333,15.59,"gsim"
"170","AT_0000078",48.289722,15.910833,"gsim"
"171","AT_0000079",48.255556,15.939722,"gsim"
"172","AT_0000080",48.14,16.28,"gsim"
"173","AT_0000081",47.95,16.37,"gsim"
"174","AT_0000082",47.86,16.18,"gsim"
"175","AT_0000083",47.81,15.71,"gsim"
"176","AT_0000084",47.77,15.73,"gsim"
"177","AT_0000085",47.771389,15.735833,"gsim"
"178","AT_0000086",47.677222,15.939444,"gsim"
"179","AT_0000087",47.58,16.1,"gsim"
"180","AT_0000088",47.654722,16.131389,"gsim"
"181","AT_0000089",48.05,15.69,"gsim"
"182","AT_0000090",47.88,15.89,"gsim"
"183","AT_0000091",47.93,16.18,"gsim"
"184","AT_0000092",47.59,16.09,"gsim"
"185","AT_0000093",48.27,13.74,"gsim"
"186","AT_0000094",47.622222,13.8275,"gsim"
"187","AT_0000095",47.564722,13.7225,"gsim"
"188","AT_0000096",47.82,13.25,"gsim"
"189","AT_0000097",47.832222,13.337778,"gsim"
"190","AT_0000098",47.96,13.61,"gsim"
"191","AT_0000099",48.093333,13.842222,"gsim"
"192","AT_0000100",48.05,13.92,"gsim"
"193","AT_0000101",48.05,14.134167,"gsim"
"194","AT_0000102",48.2,14.27,"gsim"
"195","AT_0000103",47.355,13.7125,"gsim"
"196","AT_0000104",47.605278,14.746667,"gsim"
"197","AT_0000105",47.67,15.17,"gsim"
"198","AT_0000106",47.89,14.45,"gsim"
"199","AT_0000107",47.7653,14.1706,"gsim"
"200","AT_0000108",47.67,14.33,"gsim"
"201","AT_0000109",47.68,14.34,"gsim"
"202","AT_0000110",48.22,13.74,"gsim"
"203","AT_0000111",48.19,13.9,"gsim"
"204","AT_0000112",47.99,13.44,"gsim"
"205","AT_0000113",47.98,13.74,"gsim"
"206","AT_0000114",47.85,13.95,"gsim"
"207","AT_0000115",47.88,14.13,"gsim"
"208","AT_0000116",47.77,14.21,"gsim"
"209","AT_0000117",47.85,14.65,"gsim"
"210","AT_0000118",47.53,14.15,"gsim"
"211","AT_0000119",47.5483,14.3061,"gsim"
"212","AT_0000120",48.5425,14.033889,"gsim"
"213","AT_0000121",48.366111,14.138889,"gsim"
"214","AT_0000122",48.203333,15.003611,"gsim"
"215","AT_0000123",48.21,14.68,"gsim"
"216","AT_0000124",48.56,15.32,"gsim"
"217","AT_0000125",48.4458,15.5681,"gsim"
"218","AT_0000126",48.45,16.6,"gsim"
"219","AT_0000127",47.397778,9.761944,"gsim"
"220","AT_0000128",47.2861,10.0478,"gsim"
"221","AT_0000129",47.33,9.9728,"gsim"
"222","AT_0000130",47.3553,9.8814,"gsim"
"223","AT_0000131",47.3864,10.0411,"gsim"
"224","AT_0000132",47.528889,9.874722,"gsim"
"225","AT_0000133",47.2575,9.7292,"gsim"
"226","AT_0000134",47.227222,9.876111,"gsim"
"227","AT_0000135",47.13,10.09,"gsim"
"228","AT_0000136",48.31,14.3,"gsim"
"229","AT_0000137",47.0828,15.9436,"gsim"
"230","AT_0000138",47.7417,15.3056,"gsim"
"231","AT_0000139",48.0394,14.4267,"gsim"
"232","AT_0000140",47.3828,13.4258,"gsim"
"233","AT_0000141",47.8031,14.1386,"gsim"
"234","AT_0000142",47.7236,14.2964,"gsim"
"235","AT_0000143",48.4008,15.5864,"gsim"
"236","AT_0000144",48.3833,15.4622,"gsim"
"237","AT_0000145",48.25,16.3,"gsim"
"238","AT_0000146",48.3604,16.3438,"gsim"
"239","AT_0000147",47.8061,13.7675,"gsim"
"240","AT_0000148",47.635,13.7681,"gsim"
"241","AT_0000149",47.2761,11.3969,"gsim"
"242","AT_0000150",46.8628,10.9186,"gsim"
"243","AT_0000151",47.52,12.4192,"gsim"
"244","AT_0000152",47.7264,13.0428,"gsim"
"245","AT_0000153",47.2531,12.4864,"gsim"
"246","AT_0000154",47.4911,12.1044,"gsim"
"247","AT_0000155",47.0933,11.4658,"gsim"
"248","AT_0000156",47.1633,10.9108,"gsim"
"249","AT_0000157",46.865,11.0197,"gsim"
"250","AT_0000158",46.9381,10.49,"gsim"
"251","AT_0000159",48.4361,13.4417,"gsim"
"252","AT_0000160",46.664,14.946,"gsim"
"253","AT_0000161",46.758,14.533,"gsim"
"254","AT_0000162",46.624,13.254,"gsim"
"255","AT_0000163",47.015,13.369,"gsim"
"256","AT_0000164",47.047,12.805,"gsim"
"257","AT_0000165",46.974,12.553,"gsim"
"258","AT_0000166",47.02,12.339,"gsim"
"259","AT_0000167",47.026,12.634,"gsim"
"260","AT_0000168",47.124,12.452,"gsim"
"261","AT_0000169",47.119,12.496,"gsim"
"262","AT_0000170",46.711,15.636,"gsim"
"263","AT_0000171",46.75,15.567,"gsim"
"264","AT_0000172",47.267,15.317,"gsim"
"265","AT_0000173",47.164,15.319,"gsim"
"266","AT_0000174",47.411,15.283,"gsim"
"267","AT_0000175",47.426,15.26,"gsim"
"268","AT_0000176",47.135,13.804,"gsim"
"269","AT_0000177",47.23,13.483,"gsim"
"270","AT_0000178",47.177,13.705,"gsim"
"271","AT_0000179",47.473,15.256,"gsim"
"272","AU_0000001",-22.91019444,139.9159722,"gsim"
"273","AU_0000002",-22.51508333,138.8475278,"gsim"
"274","AU_0000003",-23.72830556,141.1130556,"gsim"
"275","AU_0000004",-22.17683333,143.1636667,"gsim"
"276","AU_0000005",-27.59669722,141.1061333,"gsim"
"277","AU_0000006",-23.40991,144.22869,"gsim"
"278","AU_0000007",-24.35216667,143.2551389,"gsim"
"279","AU_0000008",-22.44919,145.02424,"gsim"
"280","AU_0000009",-23.21596,144.08052,"gsim"
"281","AU_0000010",-25.18541667,143.28125,"gsim"
"282","AU_0000011",-23.64931111,145.2159806,"gsim"
"283","AU_0000012",-24.42675,145.45834,"gsim"
"284","AU_0000013",-27.76645,143.9380667,"gsim"
"285","AU_0000014",-26.61179722,144.2812028,"gsim"
"286","AU_0000015",-43.314239,146.89771,"gsim"
"287","AU_0000016",-41.618042,145.0988,"gsim"
"288","AU_0000017",-12.879744,142.984523,"gsim"
"289","AU_0000018",-12.657785,143.050145,"gsim"
"290","AU_0000019",-14.167489,143.394002,"gsim"
"291","AU_0000020",-15.223842,143.847502,"gsim"
"292","AU_0000021",-15.2816,144.8387,"gsim"
"293","AU_0000022",-15.61372,144.48477,"gsim"
"294","AU_0000023",-15.76799,145.01297,"gsim"
"295","AU_0000024",-14.91683,144.211279,"gsim"
"296","AU_0000025",-15.42479,145.06586,"gsim"
"297","AU_0000026",-15.687795,145.208518,"gsim"
"298","AU_0000027",-16.179607,145.281892,"gsim"
"299","AU_0000028",-15.98518,145.28735,"gsim"
"300","AU_0000029",-16.42729,145.349914,"gsim"
"301","AU_0000030",-16.390311,145.337975,"gsim"
"302","AU_0000031",-41.16619839,146.1919299,"gsim"
"303","AU_0000032",-16.4552,145.3702,"gsim"
"304","AU_0000033",-16.79983333,145.6121111,"gsim"
"305","AU_0000034",-17.00224,145.42926,"gsim"
"306","AU_0000035",-17.25911111,145.5385833,"gsim"
"307","AU_0000036",-16.780107,145.53026,"gsim"
"308","AU_0000037",-17.13433333,145.5981667,"gsim"
"309","AU_0000038",-17.22863889,145.54825,"gsim"
"310","AU_0000039",-17.26313889,145.5768611,"gsim"
"311","AU_0000040",-16.84172222,145.4431389,"gsim"
"312","AU_0000041",-17.33747,145.51268,"gsim"
"313","AU_0000042",-17.29194444,145.5385,"gsim"
"314","AU_0000043",-17.327,145.53497,"gsim"
"315","AU_0000044",-17.16633333,145.4518611,"gsim"
"316","AU_0000045",-17.15794444,145.4892778,"gsim"
"317","AU_0000046",-16.94208333,145.6951389,"gsim"
"318","AU_0000047",-17.18319444,145.72475,"gsim"
"319","AU_0000048",-17.13336111,145.7645556,"gsim"
"320","AU_0000049",-17.04575,145.8018611,"gsim"
"321","AU_0000050",-16.94288889,145.8219444,"gsim"
"322","AU_0000051",-17.38595,145.9672667,"gsim"
"323","AU_0000052",-17.34716667,145.8726667,"gsim"
"324","AU_0000053",-17.56531666,145.9062167,"gsim"
"325","AU_0000054",-17.3808,145.6509,"gsim"
"326","AU_0000055",-17.54563889,145.9325278,"gsim"
"327","AU_0000056",-17.51805556,145.9131667,"gsim"
"328","AU_0000057",-17.54088333,145.86255,"gsim"
"329","AU_0000058",-17.60888889,145.9790556,"gsim"
"330","AU_0000059",-17.71472222,145.9056944,"gsim"
"331","AU_0000060",-17.73186111,146.00725,"gsim"
"332","AU_0000061",-17.58058333,146.003,"gsim"
"333","AU_0000062",-17.73961111,145.6301389,"gsim"
"334","AU_0000063",-17.99213889,145.9424722,"gsim"
"335","AU_0000064",-17.7317,145.557,"gsim"
"336","AU_0000065",-17.77259587,145.6502543,"gsim"
"337","AU_0000066",-18.10691667,145.8053611,"gsim"
"338","AU_0000067",-18.23760528,145.9482159,"gsim"
"339","AU_0000068",-41.291778,147.20494,"gsim"
"340","AU_0000069",-18.63275,146.14267,"gsim"
"341","AU_0000070",-18.1926,145.3321,"gsim"
"342","AU_0000071",-18.488994,145.936037,"gsim"
"343","AU_0000072",-18.4436,145.8478833,"gsim"
"344","AU_0000073",-18.2042,145.5371,"gsim"
"345","AU_0000074",-17.6046,145.477,"gsim"
"346","AU_0000075",-18.067,145.3399,"gsim"
"347","AU_0000076",-17.6523,145.3409,"gsim"
"348","AU_0000077",-17.6266,145.2959,"gsim"
"349","AU_0000078",-17.7371,145.4363,"gsim"
"350","AU_0000079",-17.9162,145.1497,"gsim"
"351","AU_0000080",-18.7664666,145.9498333,"gsim"
"352","AU_0000081",-19.23771042,146.6328656,"gsim"
"353","AU_0000082",-19.18330833,146.5469361,"gsim"
"354","AU_0000083",-19.31789167,146.7025667,"gsim"
"355","AU_0000084",-19.38660556,146.9579389,"gsim"
